Path,Verified,Publisher,Company,Description,Product,MD5,SHA256,group_count
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxICD-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL ICD Loader,Oracle VM VirtualBox Guest Additions,978DD73F78AC266C38B0E401CD9E34F3,E4C6AD7CA8F400FF50B58D454BB47AD07DD31AA180451B256BDE1FCB106DA93D,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxICD.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL ICD Loader,Oracle VM VirtualBox Guest Additions,4A403EC7715DE304A74B7F53EB3B2BF8,FA1023C582656019EB35C643EC974747C344D52EEC5D3790B49E9D84AB9329EB,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxNine-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa State Tracker,Oracle VM VirtualBox Guest Additions,21DEE655B0624D581ACB0E671599EFE3,32AD7008FAF21F3CEBE9606F0577298987748244AB8F4939B3C301B0ECA1DEF9,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxNine.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa State Tracker,Oracle VM VirtualBox Guest Additions,86A94FDD2A22677DABAAF974B003B521,77F96467AFDBDACA61F43DAF20291FFA206A137946C68DC58CD165F65376E0F9,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGL-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,56E0AAF37C25BC55F749FDC88310BE95,0FB235D91E495D59D6867F1466E4D307A85CE83BB7307F09A9A26675F5E66601,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGL.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,2DDFB7B09A2E742B811BBCA16DCFD81B,7E69DC0623BE07F18B97280412D8D57E8678DED9CCAF0D5E6BC509CAEA04108A,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLarrayspu-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,ADDE61E0A07865186BFEF89FE4B62624,B6087F100DDA5C963015B8AC9358F078BB4A45741487A12DAE35726FCB5B5C85,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLarrayspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,97EAF0D72AC99CF0FE3FF8BCC4E8D780,DF727A6C6F526D2C953CFB5D06DA44F99D08718F560E08928AE2641F3365D736,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLcrutil-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,7B794BA2E588C52268E68719EAF1193E,22DF51E096F4D435AAD42A25E654C08FFAB3DB578DC931E446EFA79CF9579790,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLcrutil.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,D2D552E23080D8338D199747737FDD18,01420BFB6CD254B4D760F7C8325D6D65994F3030CFA1B814499E37C10C7F947D,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLerrorspu-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,E75A7092322137B32CA35A72637038E7,7A76616969A94CE59CEF3BC53777392ACDD0ED520C9205A9542AE9A6D47193EF,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLerrorspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,13E1B35D3EAD6036D5E14D345F99DC9C,625636DC9B745BC6BF61F07A7C791267F2B107B931DBBD18767B323CE197A56F,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLfeedbackspu-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,FB752F3FF6C14D6C92B53228C4CFBA1D,4B88E079B5319A994BCF7BD62A3CDF43579122B315FC7BC48D9D0C5AA09D847C,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLfeedbackspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,BC5BBDB148AEA7E53A9ADF56F113928C,8EA61266FD8CD6C1BB82ABF1270E7E43DA77DC3175E98DF1DDFD78A1F078F82E,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLpackspu-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,46C31B769D526F2353E3DB98EB503949,DF7494520D0873A662BB0580ED8166E7A97EB1D65DA2540F4A1A66C18CD4BD13,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLpackspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,BB04FA3ED80E6F4CAF821567AB6D89B5,3A9FFB8B2595960E5FF9D02BDBA942F855965E472A460D9E83D7E8834FCD3128,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLpassthroughspu-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,6B92F917F89F8ECECAA8A097A9DC994C,DFA2C04E11625FABC96E719E1B201AF486CC76A3F02B9E692F48809C223E2461,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxOGLpassthroughspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,454CB3922FDA4DEE7855BC3E26A12390,BAD6189DBC4899EAF98A0822AF36CA116C8E4640347B03CC0226F53E1054D2FE,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxSVGA-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa VMSVGA Hardware Driver,Oracle VM VirtualBox Guest Additions,F5443949D0611C1BB5B82E6FC83074A0,A37A9B46038F31FFC6D0176941216458B97150810329AAB8FE3B601C9EA353E5,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxSVGA.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa VMSVGA Hardware Driver,Oracle VM VirtualBox Guest Additions,5314D05F59F4F32E66D005AE2004F1AA,AED595773147FB1ED6938CCD2F441707D54F09388A23AA29A43A321C4EC70435,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxWddm.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox WDDM Video Driver,Oracle VM VirtualBox Guest Additions,AE3025D40D3947D99D3079B5AE920C80,FAA64B320B8223347842C9F22BE93188DBBD033D4FD86F12209A641B3B1F104E,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\wined3dwddm-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D (WDDM),Oracle VM VirtualBox Guest Additions,44E6D61D4AA1EF241A71DFD9EB396800,DD9166C13926C0844FFEA5E5453A3947E5BF809939F5B09E583F2A9B4DE9E3EC,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\wined3dwddm.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D (WDDM),Oracle VM VirtualBox Guest Additions,B586E373C170AC4E434B95E56B1B495F,E8CE20DE9EC62DEF34C4517542DD7374728655CB5ECB39567AF2C0BE9A08DDAD,1
c:\windows\system32\VBoxD3D9wddm.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D9 (WDDM),Oracle VM VirtualBox Guest Additions,4D125CF39A82CF328E6F1F1EC21CB181,B3939CD4E58321E6E8917127D842B9A35CB8E3B57FCF36886CC2E014E5E24347,1
c:\windows\system32\VBoxDispD3D.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Video Usermode D3D 64-bit Driver,Oracle VM VirtualBox Guest Additions,9C568C6672ACC5AC2CAFB32652FCDE37,728E42E52F96DEEAFE5545259B955C7BCF606913604AFC1ACD073D51678DDD41,1
c:\windows\system32\VBoxGL.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL Mesa State Tracker,Oracle VM VirtualBox Guest Additions,BC16BFD76F158E2D56952D5EC968B5D0,70DEA79BA73CA0F7E49C439ED6D3D9713B705C434E8804A183BACF197A28541F,1
c:\windows\system32\VBoxICD.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL ICD Loader,Oracle VM VirtualBox Guest Additions,4A403EC7715DE304A74B7F53EB3B2BF8,FA1023C582656019EB35C643EC974747C344D52EEC5D3790B49E9D84AB9329EB,1
c:\windows\system32\VBoxNine.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa State Tracker,Oracle VM VirtualBox Guest Additions,86A94FDD2A22677DABAAF974B003B521,77F96467AFDBDACA61F43DAF20291FFA206A137946C68DC58CD165F65376E0F9,1
c:\windows\system32\VBoxSVGA.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox D3D9 Mesa VMSVGA Hardware Driver,Oracle VM VirtualBox Guest Additions,5314D05F59F4F32E66D005AE2004F1AA,AED595773147FB1ED6938CCD2F441707D54F09388A23AA29A43A321C4EC70435,1
c:\windows\system32\drivers\VBoxWddm.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox WDDM Video Driver,Oracle VM VirtualBox Guest Additions,AE3025D40D3947D99D3079B5AE920C80,FAA64B320B8223347842C9F22BE93188DBBD033D4FD86F12209A641B3B1F104E,1
c:\windows\system32\wined3dwddm.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D (WDDM),Oracle VM VirtualBox Guest Additions,B586E373C170AC4E434B95E56B1B495F,E8CE20DE9EC62DEF34C4517542DD7374728655CB5ECB39567AF2C0BE9A08DDAD,1
c:\windows\system32\DriverStore\FileRepository\netnvma.inf_amd64_neutral_99bb33c9a5bedaea\nvm60x64.sys,Signed,NVIDIA Corporation,NVIDIA Corporation,NVIDIA MCP Networking Function Driver.,NVENETFD,9733F305FA84AAF84E7FB09C0B345ADB,466629CC22224B2D4FA2098EB277BBDF9D2A0CD3D27D29638225207A76A08281,2
c:\windows\system32\DriverStore\FileRepository\nv_lh.inf_amd64_neutral_bc69f20e3115af59\nvlddmkm.sys,Signed,NVIDIA Corporation,NVIDIA Corporation,"NVIDIA Windows Kernel Mode Driver, Version 185.93 ","NVIDIA Windows Kernel Mode Driver, Version 185.93 ",DD81FBC57AB9134CDDC5CE90880BFD80,16DF4D9645238D1014FA9189FF171DCF7B7C7573F759B5AC73025518139D86B1,2
c:\windows\system32\DriverStore\FileRepository\netnvma.inf_amd64_99bb33c9a5bedaea\nvm60x64.sys,Signed,NVIDIA Corporation,NVIDIA Corporation,NVIDIA MCP Networking Function Driver.,NVENETFD,9733F305FA84AAF84E7FB09C0B345ADB,466629CC22224B2D4FA2098EB277BBDF9D2A0CD3D27D29638225207A76A08281,1
c:\windows\system32\WerFaultSecure.exe,Signed,Microsoft Windows Publisher,Microsoft Corporation,Windows Fault Reporting,Microsoft® Windows® Operating System,87C750D1E9CC44D0EC47C6B799F41CEB,8CA4AC0E38B8973911574240E82028307C0528782D15FE13C00997A53B153336,1
