Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\aeinv.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Application Experience Program Inventory Component","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","831554BF01444B50E489315ABADC12D2","3E41AEF5451E24C884F692FE5BCB0A2585D108E4","325316FEFE9C3FB0C81A1D6C040B2C2DF8B450C1","DFA2A488506085922BED65FD1C0DD39DB4EAEC7466F81D342B16DCB4D1DA75E0","C5ED74BA00EBAE8246C8DBE7AF367CB499CE2D8CE1AD268CC0E36696B1EA3757","C56FE518523DE7E10D1EC5D98C233F53"
"c:\windows\system32\aelupsvc.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Application Experience Service","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","0F17D49BE041B7EFF1D33BF1414E7AC6","EBD26728EC422FD8EFE1E15B03C64ECA2B4430AE","4D41B7907FA6B4FD8D7156F5D83931F95E5166B3","AD8D43606D5D1F66897E01F95441D5335856AA653D26F4AA6F30C1E074EEC1B6","F8B536B60903814DF88DAF535753288537EF0993E42AA4E734EDA8D68B24C7AB","D86E5BF846DAEB1469281AA534B6089E"
"c:\windows\system32\aepdu.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Program Compatibility Data Updater","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","311AAEFABEDB1FA343DDD8322C290378","4872CFDD55897A974B6FF1A9B73DA11E9771E4A1","8B44C8E6022EB4BCB2D9DF348981FBF81FFE28A5","451C8B0A9CFFC249F4C0CAAAC56FFDAC72ED0CBC4B8CC979800C0C2E90ECD895","FF0315D682401FE7321B000D985084F6AB3CA9B1861DCEA9634DC36DDBDBB76B","04B573F6EEA5A8C2239447CE614E7359"
"c:\windows\system32\aepic.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Application Experience Program Cache","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","F77C9F8A5F926CC77B41C45DB5ACAA26","BB10B70240B3C40F0C2C4AB3B98FD13A4B7A1962","450C0201A0A36A2B3C8997D5BA9BF283E301CF1B","B3E5FBE8AB1C3FD4508BBFB5F29588D9825C743DB5956A4D46E1A8746730793B","F95C184A4F7330A47AE1F185BB200E5EF4B3C279CE5DB64E5B47E0045DBE1633","E488819A5BD2B48706D6622A9DBFB48C"
"c:\windows\system32\AepRoam.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Association Endpoint(AEP) Roaming Monitor and Handler","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","817005B17E25BD6E2369635D5A33DA51","C6DA4A55FAB9EE5C298AB28BEFCCB8DF18DB5634","D7E4095C893BFFE08793B0040B6FAF0BA60B27EE","DE5B2410EB4E0259F0E201E78B836BD20BFD045A2B838A557873E69E929DE435","D9BF3391AC1DA28804FA1B83753C054D63F0BFB3A5E0020A36F00FA9247EFEC9","CF5DE8D81CC2BC067D23DB6F9CBDC47F"
"c:\windows\system32\aitagent.exe","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Application Impact Telemetry Agent","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","E267BC3EEF80CC447680593038D10B0B","4B0608D976E0D244BE9EF02C6543021FF7B76119","BB47F040B6A7B666ECDE57CCA78F70C9968965A9","52663BB43B359437AFA47148BC632152BFB57EFEC5454F0C10CD615A5C6D635A","27000635C736DFC37D97DBE81007BC3BF455C1A35D4E32A9F1410E74F4FED83D","97AFD39475ECC193571CB623A83B0733"
"c:\windows\system32\aitstatic.exe","Signed","8:08 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Application Impact Telemetry Static Analyzer","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","DA5765D8E612B3C1004CF478F7DF28F1","42036B76B5E55511E02E0278A8813CE78DAC09D8","8FC3880323D2376E3B8F4E3E1115CD8A3EDDEDEE","77ED15A006D7DCE048CE26D5F7BC7000AA6A78A504B00919CB539C92CD29041A","D6014D643D85A9B4EC58AFD6B1C43BEA58BF6FF8560C9B2B63A44BDED8074B7E","F43C66F4B9049AB1413F332A257C49E5"
"c:\windows\system32\alg.exe","Signed","7:59 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Application Layer Gateway Service","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","A91D8E1E433EFB32551BCE69037E1CE7","24A9FAC362526940924DD910527AE0F9C67A0AF2","4432226EE5684B6F14D8AA7BC1FFC0D12459FDD7","EA105B3AF3C5D538B2EC453922855CEFAF624BEC86124F464C7FB6A7B7FAE552","41DFDD5B56918D19D09DFB3E4B07460AA85647A8647ABBBB906158D8D6653290","9ECC1A2D3A91111891C8EB49CA749CC9"
"c:\windows\system32\AltTab.dll","Signed","12:19 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Windows Shell Alt Tab","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","C4D32A2A0032C65587993E637F2B78F6","5FE9D6F7F890183FFA0A82FB5A4B24745D9EB47C","320F225847772EE30E8153C9F38429AA99A31CAF","87A64B043CCB2C2F559B2809631FA98357DB82064FA01CEFAA0D2639C6A635B2","01384FCDEEDE02D88A49332CC6069345C5BA243C37ECC25F8BF9A45ACA7D4A26","E81E36F88CA9FB4C506838DD41DBEA86"
"c:\windows\system32\amstream.dll","Signed","7:46 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","DirectShow Runtime.","Microsoft® Windows® Operating System","6.6.9600.16384","6.6.9600.16384 (winblue_rtm.130821-1623)","64-bit","3C2EBB0B24A5D90C6BC554C336670F86","F28F15ECFCBE8FE9823951DCCEEE390456B16B18","5293BCC1B62BC961364BD46CD619125C137FD573","EA023B1306F178CE6F2366A0A66B77953F34485EE87217EA5314917ACFA427FE","026B9D6E405199C29BB1EA236680FC0DF66DCEF8EBEFC0530EFCC5BAC22D2939","CE4817B576309B54F2E356E024CC8EB8"
"c:\windows\system32\apds.dll","Signed","8:00 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Microsoft® Help Data Services Module","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","0D2E1E435D503AAF74F2189212062DA3","BA408BD38716DB5B8952CD2E9036CA936406759B","11A0BFC7DD224351574FAE98BE79A67E9C5B42BE","079A358B6E195BA8388AA954396144F3566E785CCA4691C18D297DED6C6F760D","C3E1EA1C408EF9F481BD807946B1682CD7FC6E1DAE80A1E42AC03F5971FAEC76","C2DAF55FBC25BBC5CD9C8E912EBF34B0"
"c:\windows\system32\api-ms-win-appmodel-identity-l1-1-0.dll","Signed","8:06 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ApiSet Stub DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","2813A0ADF8CF1891F550278F6953A008","87FBC491C7DEAC7D1F3AC115AE3248D4CA14DA63","4A056986A692831FF7E0BE1136F711F49937CAAB","E9D0F778AFE5B4C2EA5AEA500AFAC231192D30490FA24668209370B4BBEDB103","0B7B3F819FFEEFB1775E6DA08F7DF392DDC1C9D0A150A278D7F517F1D93859A2","n/a"
"c:\windows\system32\api-ms-win-appmodel-runtime-internal-l1-1-0.dll","Signed","8:06 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ApiSet Stub DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","AAAA74ABC526894017E08352A833AA7A","839C68EF3A49C2E83F74A8EAFDA27398815F7F61","86EB4F4F7BD0917A03ADB14429C0AD3134E4BBAC","C06C534A2D3E42652FB1879ADC69AF57BADF375A63DE11B568ACACD8E9B7FAA5","DF74DFAB8DC8B82274B2565044304CFD97F5016AEB85A963044F10497A73DE37","n/a"
